;;;;;;Amphinemura;;;Ancylus;;;Antocha;;;Allogamus;;;Asellus aquaticus;;;Athericidae;;;Baetidae;;;Baetis alpinus;;;Baetis sp. (rhodani);;;Blephariceridae;;;Ceratopoganidae;;;Copepoda;;;Chironomidae (normal);;;Chironomidae (pupa);;;Chironomidae (red);;;Chloroperlidae;;;Diamesa;;;Diamesa (pupa);;;Dicranota;;;Dinocras;;;Diptera;;;Dreissena;;;Ecdyonurus;;;Epeorus;;;Epeorus alpicula;;;Ephemera;;;Ephemerella;;;Ephemerella major;;;Elmidae (adult);;;Elmidae (larvae);;;Empididae;;;Eriopterini;;;Gammarus;;;Glossosomatidae;;;Gyrinidae (Larve);;;Habroleptoides;;;Heptagenidae;;;Hexatoma;;;Hirudinea;;;Hydraenidae (adult);;;Hydracarina;;;Hydropsyche;;;Isoperla;;;Larve unbekannt;;;Lepidostoma;;;Leuctra;;;Limnephilidae;;;Limoniidae;;;Lymnaeidae;;;Micronecta;;;Nematoda;;;Nemoura;;;Nemouridae;;;Oligochaeta;;;Perla;;;Perlidae;;;Perlodes;;;Perlodidae;;;PerloIDEA;;;Planaria;;;Plecoptera;;;Polycentropodidae;;;Protonemura;;;Psychodidae;;;Psychomiidae;;;Rhabdiopteryx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
number;transect;transect_location;x;y;z;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count;Projection_factor;Total;Count_Rhithrogena;Projection_factor_Rhithrogena;Total_Rhithrogena;Count_Rhyacophila;Projection_factor_Rhyacophila;Total_Rhyacophila;Count_Rhyacophila sensu strico;Projection_factor_Rhyacophila sensu strico;Total_Rhyacophila sensu strico;Count_Rhyacophila torrentium;Projection_factor_Rhyacophila torrentium;Total_Rhyacophila torrentium;Count_Rhyacophila tristis;Projection_factor_Rhyacophila tristis;Total_Rhyacophila tristis;Count_Rhyacophila (pupa);Projection_factor_Rhyacophila (pupa);Total_Rhyacophila (pupa);Count_Scirtidae (larvae);Projection_factor_Scirtidae (larvae);Total_Scirtidae (larvae);Count_Sericostoma;Projection_factor_Sericostoma;Total_Sericostoma;Count_Simuliidae;Projection_factor_Simuliidae;Total_Simuliidae;Count_Simuliidae (pupa);Projection_factor_Simuliidae (pupa);Total_Simuliidae (pupa);Count_Strayiomidae;Projection_factor_Strayiomidae;Total_Strayiomidae;Count_Tabanidae;Projection_factor_Tabanidae;Total_Tabanidae;Count_Taeniopterygidae;Projection_factor_Taeniopterygidae;Total_Taeniopterygidae;Count_Tipulidae;Projection_factor_Tipulidae;Total_Tipulidae;Count_Trichoptera;Projection_factor_Trichoptera;Total_Trichoptera;Count_Trichoptera (pupa);Projection_factor_Trichoptera (pupa);Total_Trichoptera (pupa);Count_Turberllaria;Projection_factor_Turberllaria;Total_Turberllaria;Sum_Diversity
1;1;3;2777149.204;1198403.709;793.118;;;0;;;0;;;0;5;2;10;;;0;;;0;;;0;15;2;30;1;2;2;;;0;;;0;;;0;3;2;6;4;4;16;;;0;;;0;18;4;72;;;0;8;1;8;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;20;4;80;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;2;1;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;25;2;50;;;0;;;0;3;1;3;;;0;;;0;;;0;;;0;2;3;6;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;;;0;
2;1;2;2777148.101;1198399.737;793.231;;;0;;;0;;;0;20;16;320;;;0;;;0;;;0;3;8;24;1;2;2;;;0;;;0;;;0;3;8;24;;;0;;;0;;;0;5;8;40;;;0;2;1;2;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;3;1;3;;;0;;;0;18;16;288;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;4;4;16;;;0;1;1;1;4;1;4;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;
3;1;1;2777147.747;1198394.052;793.509;;;0;;;0;;;0;24;4;96;;;0;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;;;0;;;0;;;0;;;0;8;2;16;;;0;2;2;4;;;0;;;0;;;0;6;2;12;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;4;1;4;;;0;;;0;13;8;104;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;2;1;2;1;1;1;;;0;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;
4;2;3;2777154.859;1198399.161;793.028;;;0;;;0;;;0;45;2;90;;;0;;;0;;;0;10;2;20;;;0;;;0;;;0;;;0;2;2;4;1;1;1;;;0;;;0;10;4;40;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;1;2;2;;;0;2;1;2;;;0;;;0;8;2;16;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;6;2;12;;;0;;;0;2;1;2;;;0;;;0;;;0;;;0;1;2;2;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;
5;2;2;2777154.81;1198396.691;793.156;;;0;;;0;;;0;12;4;48;;;0;;;0;;;0;2;4;8;2;2;4;;;0;;;0;;;0;;;0;;;0;;;0;;;0;5;8;40;;;0;;;0;;;0;;;0;;;0;3;2;6;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;8;8;64;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;3;2;6;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;1;2;2;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;
6;2;1;2777156.023;1198393.293;793.551;;;0;;;0;;;0;65;8;520;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;3;2;6;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;3;1;3;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;5;4;20;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;
7;3;3;2777282.005;1198352.954;795.618;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;20;4;80;;;0;;;0;;;0;;;0;2;2;4;1;2;2;;;0;;;0;5;2;10;;;0;2;1;2;;;0;;;0;;;0;;;0;;;0;3;1;3;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;3;1;3;;;0;;;0;20;2;40;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;11;2;22;;;0;;;0;7;1;7;;;0;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;2;1;2;;;0;;;0;;;0;1;1;1;
8;3;2;2777281.145;1198348.68;795.86;;;0;;;0;;;0;3;2;6;;;0;;;0;;;0;4;4;16;3;4;12;;;0;;;0;;;0;;;0;;;0;;;0;;;0;10;4;40;2;1;2;2;2;4;;;0;;;0;;;0;4;2;8;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;14;8;112;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;3;2;6;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;2;1;2;;;0;;;0;;;0;;;0;
9;3;1;2777279.658;1198345.041;796.061;;;0;;;0;;;0;8;2;16;;;0;;;0;;;0;6;2;12;10;2;20;;;0;;;0;;;0;;;0;4;2;8;;;0;;;0;8;4;32;;;0;;;0;;;0;;;0;;;0;3;2;6;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;2;2;4;;;0;2;1;2;;;0;;;0;14;4;56;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;1;1;1;2;1;2;2;1;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;;;0;
10;4;3;2777294.528;1198346.603;795.932;;;0;;;0;;;0;50;8;400;;;0;;;0;;;0;14;4;56;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;10;4;40;;;0;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;12;4;48;;;0;2;1;2;;;0;;;0;;;0;;;0;;;0;1;1;1;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;6;2;12;1;1;1;;;0;5;1;5;;;0;;;0;;;0;;;0;2;3;6;1;1;1;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;
11;4;2;2777292.592;1198342.706;796.019;;;0;;;0;;;0;27;16;432;;;0;;;0;;;0;6;4;24;3;4;12;;;0;;;0;;;0;;;0;;;0;;;0;;;0;4;16;64;;;0;;;0;;;0;;;0;;;0;6;2;12;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;3;2;6;;;0;;;0;8;8;64;;;0;;;0;;;0;;;0;2;2;4;;;0;;;0;1;1;1;;;0;;;0;3;1;3;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;2;3;6;;;0;2;2;4;5;2;10;;;0;;;0;;;0;;;0;1;2;2;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;
12;4;1;2777292.361;1198338.701;796.325;;;0;;;0;;;0;9;8;72;;;0;;;0;;;0;2;3;6;2;3;6;;;0;;;0;;;0;2;2;4;;;0;;;0;;;0;;;0;;;0;2;4;8;;;0;;;0;;;0;7;2;14;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;;;0;;;0;;;0;;;0;4;1;4;;;0;;;0;;;0;;;0;1;1;1;;;0;;;0;8;8;64;;;0;;;0;;;0;;;0;;;0;;;0;;;0;1;2;2;;;0;;;0;2;1;2;;;0;;;0;;;0;;;0;;;0;2;1;2;;;0;;;0;;;0;2;2;4;;;0;;;0;1;1;1;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;
1;1;3;2777149.204;1198403.709;793.118;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14
2;1;2;2777148.101;1198399.737;793.231;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
3;1;1;2777147.747;1198394.052;793.509;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14
4;2;3;2777154.859;1198399.161;793.028;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;15
5;2;2;2777154.81;1198396.691;793.156;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;13
6;2;1;2777156.023;1198393.293;793.551;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
7;3;3;2777282.005;1198352.954;795.618;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;15
8;3;2;2777281.145;1198348.68;795.86;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;15
9;3;1;2777279.658;1198345.041;796.061;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;16
10;4;3;2777294.528;1198346.603;795.932;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;14
11;4;2;2777292.592;1198342.706;796.019;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
12;4;1;2777292.361;1198338.701;796.325;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
